iata,name,city,country_code,type,scheduled_service,iso_region,ident,label
DDR,Rikaze Dingri Airport,Xigazê (Dingri),CN,,,,,"Xigazê (Dingri) — Rikaze Dingri Airport (DDR), CN"
RKZ,Xigaze Peace Airport / Shigatse Air Base,Xigazê (Samzhubzê),CN,,,,,"Xigazê (Samzhubzê) — Xigaze Peace Airport / Shigatse Air Base (RKZ), CN"
XIL,Xilinhot Airport,Xilinhot,CN,,,,,"Xilinhot — Xilinhot Airport (XIL), CN"
ACX,Xingyi Wanfenglin Airport,Xingyi,CN,,,,,"Xingyi — Xingyi Wanfenglin Airport (ACX), CN"
XAI,Xinyang Minggang Airport,Xinyang,CN,,,,,"Xinyang — Xinyang Minggang Airport (XAI), CN"
NLT,Xinyuan Nalati Airport,Xinyuan,CN,,,,,"Xinyuan — Xinyuan Nalati Airport (NLT), CN"
WUT,Xinzhou Wutaishan Airport,Xinzhou,CN,,,,,"Xinzhou — Xinzhou Wutaishan Airport (WUT), CN"
XUZ,Xuzhou Guanyin International Airport,Xuzhou,CN,,,,,"Xuzhou — Xuzhou Guanyin International Airport (XUZ), CN"
ENY,Yan'an Nanniwan Airport,Yan'an (Baota),CN,,,,,"Yan'an (Baota) — Yan'an Nanniwan Airport (ENY), CN"
YNZ,Yancheng Nanyang International Airport,Yancheng (Tinghu),CN,,,,,"Yancheng (Tinghu) — Yancheng Nanyang International Airport (YNZ), CN"
YTY,Yangzhou Taizhou Airport,Yangzhou,CN,,,,,"Yangzhou — Yangzhou Taizhou Airport (YTY), CN"
YNJ,Yanji Chaoyangchuan Airport,Yanji,CN,,,,,"Yanji — Yanji Chaoyangchuan Airport (YNJ), CN"
YNT,Yantai Penglai International Airport,Yantai,CN,,,,,"Yantai — Yantai Penglai International Airport (YNT), CN"
YBP,Yibin Wuliangye Airport,Yibin (Cuiping),CN,,,,,"Yibin (Cuiping) — Yibin Wuliangye Airport (YBP), CN"
YIH,Yichang Sanxia Airport,Yichang (Xiaoting),CN,,,,,"Yichang (Xiaoting) — Yichang Sanxia Airport (YIH), CN"
LDS,Yichun Lindu Airport,Yichun,CN,,,,,"Yichun — Yichun Lindu Airport (LDS), CN"
YIC,Yichun Mingyueshan Airport,Yichun,CN,,,,,"Yichun — Yichun Mingyueshan Airport (YIC), CN"
INC,Yinchuan Hedong International Airport,Yinchuan,CN,,,,,"Yinchuan — Yinchuan Hedong International Airport (INC), CN"
YKH,Yingkou Lanqi Airport,Yingkou (Laobian),CN,,,,,"Yingkou (Laobian) — Yingkou Lanqi Airport (YKH), CN"
FUG,Fuyang Xiguan Airport,"Yingzhou, Fuyang",CN,,,,,"Yingzhou, Fuyang — Fuyang Xiguan Airport (FUG), CN"
LLF,Yongzhou Lingling Airport,Yongzhou,CN,,,,,"Yongzhou — Yongzhou Lingling Airport (LLF), CN"
YYA,Yueyang Sanhe Airport,Yueyang (Yueyanglou),CN,,,,,"Yueyang (Yueyanglou) — Yueyang Sanhe Airport (YYA), CN"
YLX,Yulin Fumian Airport,Yulin,CN,,,,,"Yulin — Yulin Fumian Airport (YLX), CN"
UYN,Yulin Yuyang Airport,Yulin,CN,,,,,"Yulin — Yulin Yuyang Airport (UYN), CN"
YCU,Yuncheng Yanhu International Airport,Yuncheng (Yanhu),CN,,,,,"Yuncheng (Yanhu) — Yuncheng Yanhu International Airport (YCU), CN"
